fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,72739B12-8A40-4325-B84E-EF3E0E533302,Unclassified,NA,Bletcham Way,NA,NA,NA,Single Carriageway,291,false,false,false,3BF9D288-D3A4-4FF4-BC80-103C9BBDCFD0,4FCAB935-BFDB-4376-BA2E-2D448B275438,NA,osgb4000000019392918,NA,Minor Road,291.466974245594,285.801576622671,5.66539762292319,1.01982283544364
false,AF7FFF53-E7B1-4E31-A607-0B66C9A16D42,Unclassified,NA,Tongwell Street,NA,NA,NA,Single Carriageway,328,false,false,false,81603FD9-1A6E-47E1-8055-2D76054A667F,3BEF6899-10E6-46A7-9B68-DE1679308655,NA,osgb4000000019417856,NA,Minor Road,327.9447990128,320.224576976849,7.72022203595048,1.02410877425098
false,49D94F1E-051F-43CE-AF93-1B27CC244D2A,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,42,false,false,false,1711A689-C9C7-4064-8CD0-79C9CB600170,FBEC20D3-790C-442A-8761-0E03ED08629E,NA,osgb4000000019417795,NA,Local Road,42.0119030752,42.0119030752,0,1
false,D45AC959-3686-437B-8EA9-5096E70D900B,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,87,false,false,false,81001458-B37E-4426-8014-C59F2DF230FF,A85F2088-308D-4A81-964F-02439E95CCE5,NA,osgb4000000019417795,NA,Local Road,87.2681345168037,83.0533184165481,4.21481610025562,1.05074831663097
false,6E9D5808-3400-412A-8652-16DAA83A7E28,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,39,false,false,false,1717D099-A8E1-466A-A9CA-DEAB26846158,1FAD050C-32AC-4F7F-9E1A-FE02ABC1D07D,NA,osgb4000000019417795,NA,Local Road,38.9101529166874,38.9101529166874,0,1
false,46902CF7-EC2E-4F0D-81E3-56316DBD2BD6,Unclassified,NA,Gregories Drive,NA,NA,NA,Single Carriageway,25,false,false,false,1717D099-A8E1-466A-A9CA-DEAB26846158,2B305FD5-FAF8-499B-854F-5066D479E094,NA,osgb4000000019397399,NA,Minor Road,24.5967477524977,24.5967477524977,0,1
false,F42B25B7-7399-40C8-9F56-7BDF15A81689,Unclassified,NA,Scotch Firs,NA,NA,NA,Single Carriageway,37,false,false,false,CD813589-1EB3-494A-977D-2212CA861E04,2B305FD5-FAF8-499B-854F-5066D479E094,NA,osgb4000000019540077,NA,Local Road,36.5828992763882,36.5828990103507,2.66037417873122e-07,1.00000000727218
false,571C0C68-3463-4B01-A7F2-E3530CA76D45,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,32,false,false,false,1FAD050C-32AC-4F7F-9E1A-FE02ABC1D07D,1711A689-C9C7-4064-8CD0-79C9CB600170,NA,osgb4000000019417795,NA,Local Road,31.7804971641414,31.7804971641414,0,1
false,B13310EE-D339-4477-8FC8-8D5D7C254007,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,37,false,false,false,1711A689-C9C7-4064-8CD0-79C9CB600170,B5455C61-F1D6-470B-936C-4E05FAC6A3AA,NA,osgb4000000019417795,NA,Local Road,36.6742416417845,36.6742416417845,0,1
false,667B920B-7CA1-49D8-8D47-3D34C13969CE,Unclassified,NA,Mithras Gardens,NA,NA,NA,Single Carriageway,38,false,false,false,1FAD050C-32AC-4F7F-9E1A-FE02ABC1D07D,1D50E248-5C1A-42D1-89F3-ED4E2E6C00AE,NA,osgb4000000019417795,NA,Local Road,37.6339576337589,37.6339554126256,2.2211332506572e-06,1.00000005901939
false,96343B76-2357-490F-8D04-469D23B84D40,Unclassified,NA,Rubbra Close,NA,NA,NA,Single Carriageway,76,false,false,false,51294F1A-4C7A-474E-94F6-64C4B66D9306,551AF322-529C-4F45-AE59-521CDD30A7A8,NA,osgb4000000019431268,NA,Local Road,76.2447817097277,74.2428447730823,2.00193693664534,1.02696471212497
false,F34BC95D-44F7-479E-8ACE-73573F8879BD,Unclassified,NA,Gregories Drive,NA,NA,NA,Single Carriageway,203,false,false,false,2B305FD5-FAF8-499B-854F-5066D479E094,ACD2231C-A27B-4B3D-9216-7869303CF91F,NA,osgb4000000019397399,NA,Minor Road,203.421885575399,202.081666659794,1.34021891560491,1.00663206582644
false,45086B25-7EC9-4C86-BFB9-528514C18A16,Unclassified,NA,Brahms Close,NA,NA,NA,Single Carriageway,123,false,false,false,ABE5B9C3-5B23-4822-A597-A7C767333B12,BD5FD99B-11A2-4F8B-8EE9-28D758AB2ECD,NA,osgb4000000019431352,NA,Local Road,123.158694609906,98.0901483330386,25.0685462768677,1.25556640195664
false,506E93CE-ED97-4D64-8245-4CAFC405674F,Unclassified,NA,Tansman Lane,NA,NA,NA,Single Carriageway,106,false,false,false,31BFA797-4C60-407A-A3E3-C1A604810946,7039214F-F5CE-4EAD-8F67-1BCF0E88D63E,NA,osgb4000000019431353,NA,Local Road,106.476797150927,106.470653233649,0.00614391727732766,1.00005770526517
